plot,JUDE2,PICE,PIPO,PIST3,QUEM,QUGA,QUGR2,QUGR3,QUHY,easting ,northing,long,lat,,,,,,,,,,,,,,,,,,,,,,,,,,
D223,46,39,0,0,0,0,0,47,67,586946,3397014,-104.092,30.7028,,,,,,,,,,,,,,,,,,,,,,,,,,
D224,128,72,0,0,0,0,0,0,0,587544,3397018,-104.086,30.7028,,,,,,,,,,,,,,,,,,,,,,,,,,
D226,124,76,0,0,0,0,0,0,0,585143,3397624,-104.111,30.7084,,,,,,,,,,,,,,,,,,,,,,,,,,
D227,112,34,0,0,0,0,0,23,31,585712,3397622,-104.105,30.7083,,,,,,,,,,,,,,,,,,,,,,,,,,
D228,100,48,0,0,0,0,0,29,23,586339,3397623,-104.098,30.7083,,,,,,,,,,,,,,,,,,,,,,,,,,
D229,57,45,0,0,0,0,0,39,60,586946,3397626,-104.092,30.7083,,,,,,,,,,,,,,,,,,,,,,,,,,
D23,136,42,0,0,0,0,0,11,12,582713,3392862,-104.137,30.6656,,,,,,,,,,,,,,,,,,,,,,,,,,
D230,102,81,0,0,0,0,2,9,6,587542,3397622,-104.086,30.7082,,,,,,,,,,,,,,,,,,,,,,,,,,
D232,128,9,0,0,0,0,0,29,33,585143,3398233,-104.111,30.7139,,,,,,,,,,,,,,,,,,,,,,,,,,
D233,167,15,0,0,0,0,0,7,11,585748,3398237,-104.104,30.7139,,,,,,,,,,,,,,,,,,,,,,,,,,
D234,103,25,0,0,0,0,0,23,49,586336,3398221,-104.098,30.7137,,,,,,,,,,,,,,,,,,,,,,,,,,
D235,47,63,0,0,0,0,0,64,26,586945,3398228,-104.092,30.7137,,,,,,,,,,,,,,,,,,,,,,,,,,
D236,133,47,0,0,0,0,0,6,14,587539,3398226,-104.086,30.7137,,,,,,,,,,,,,,,,,,,,,,,,,,
D237,60,141,0,0,0,0,0,0,0,584540,3398824,-104.117,30.7193,,,,,,,,,,,,,,,,,,,,,,,,,,
D238,37,95,0,0,0,0,0,27,41,585142,3398823,-104.111,30.7192,,,,,,,,,,,,,,,,,,,,,,,,,,
D239,42,122,0,0,0,0,0,20,15,585742,3398823,-104.104,30.7192,,,,,,,,,,,,,,,,,,,,,,,,,,
D24,200,0,0,0,0,0,0,0,0,583370,3393426,-104.13,30.6707,,,,,,,,,,,,,,,,,,,,,,,,,,
D240,100,38,0,0,0,0,0,33,29,586341,3398824,-104.098,30.7191,,,,,,,,,,,,,,,,,,,,,,,,,,
D241,182,18,0,0,0,0,0,0,0,586949,3398823,-104.092,30.7191,,,,,,,,,,,,,,,,,,,,,,,,,,
D242,28,131,0,0,0,0,0,25,17,584537,3399423,-104.117,30.7247,,,,,,,,,,,,,,,,,,,,,,,,,,
D243,0,72,0,0,0,0,0,60,68,585142,3399420,-104.111,30.7246,,,,,,,,,,,,,,,,,,,,,,,,,,
D244,0,0,91,0,0,0,0,38,0,0,0,-109.489,0,,,,,,,,,,,,,,,,,,,,,,,,,20262,21
D245,0,0,0,97,0,0,0,38,0,0,0,-109.489,0,,,,,,,,,,,,,,,,,,,,,,,,,22905,1
D246,0,0,70,31,0,0,0,42,0,0,0,-109.489,0,,,,,,,,,,,,,,,,,,,,,,,,,21030,10
D247,0,93,0,0,0,0,0,47,60,587536,3399427,-104.086,30.7245,,,,,,,,,,,,,,,,,,,,,,,,,,
D248,37,92,0,0,0,0,0,35,35,587542,3396421,-104.086,30.6974,,,,,,,,,,,,,,,,,,,,,,,,,,
D249,93,54,0,0,0,0,0,23,30,584537,3400024,-104.117,30.7301,,,,,,,,,,,,,,,,,,,,,,,,,,
D25,9,104,0,0,0,0,0,40,47,583964,3391622,-104.124,30.6543,,,,,,,,,,,,,,,,,,,,,,,,,,
D250,53,37,0,0,0,0,0,67,44,585147,3400025,-104.111,30.7301,,,,,,,,,,,,,,,,,,,,,,,,,,
D251,117,83,0,0,0,0,0,0,0,585742,3400025,-104.104,30.73,,,,,,,,,,,,,,,,,,,,,,,,,,
D252,0,15,0,0,0,0,0,94,91,586337,3400028,-104.098,30.73,,,,,,,,,,,,,,,,,,,,,,,,,,
D253,44,141,0,0,0,0,0,9,5,586945,3400023,-104.092,30.7299,,,,,,,,,,,,,,,,,,,,,,,,,,
D254,71,75,0,0,0,0,0,26,28,587545,3400017,-104.086,30.7298,,,,,,,,,,,,,,,,,,,,,,,,,,
D255,0,105,0,0,0,0,0,60,35,586331,3400626,-104.098,30.7354,,,,,,,,,,,,,,,,,,,,,,,,,,
D256,47,84,0,0,0,0,0,33,36,586940,3400632,-104.092,30.7354,,,,,,,,,,,,,,,,,,,,,,,,,,
D257,0,0,36,100,0,0,0,24,41,587549,3400634,-104.085,30.7354,,,,,,,,,,,,,,,,,,,,,,,,,,
D258,61,96,0,0,0,0,0,30,13,588138,3400622,-104.079,30.7352,,,,,,,,,,,,,,,,,,,,,,,,,,
D259,137,35,0,0,0,0,0,20,8,588742,3400614,-104.073,30.7351,,,,,,,,,,,,,,,,,,,,,,,,,,
D26,0,200,0,0,0,0,0,0,0,583376,3391020,-104.13,30.6489,,,,,,,,,,,,,,,,,,,,,,,,,,
D260,37,6,0,0,12,0,35,33,37,589339,3400630,-104.067,30.7352,,,,,,,,,,,,,,,,,,,,,,,,,,
D265,0,0,0,0,0,0,66,17,34,587543,3401223,-104.085,30.7407,,,,,,,,,,,,,,,,,,,,,,,,,,
D266,45,52,0,0,0,0,0,57,45,588141,3401214,-104.079,30.7406,,,,,,,,,,,,,,,,,,,,,,,,,,
D267,14,78,0,0,0,0,0,58,50,588738,3401224,-104.073,30.7406,,,,,,,,,,,,,,,,,,,,,,,,,,
D268,0,104,0,0,0,0,0,44,52,589338,3401225,-104.067,30.7406,,,,,,,,,,,,,,,,,,,,,,,,,,
D269,12,8,0,0,0,0,0,86,94,588736,3401821,-104.073,30.746,,,,,,,,,,,,,,,,,,,,,,,,,,
D27,13,112,0,0,30,0,0,15,14,582753,3391000,-104.136,30.6488,,,,,,,,,,,,,,,,,,,,,,,,,,
D270,30,49,0,0,0,0,0,59,63,589339,3401823,-104.067,30.746,,,,,,,,,,,,,,,,,,,,,,,,,,
D274,188,0,0,0,0,0,0,7,5,588140,3401823,-104.079,30.7461,,,,,,,,,,,,,,,,,,,,,,,,,,
D28,38,114,0,0,24,0,0,14,11,582132,3391590,-104.143,30.6542,,,,,,,,,,,,,,,,,,,,,,,,,,
D29,39,63,23,0,0,0,0,44,27,582147,3392222,-104.143,30.6599,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,36,120,0,0,0,0,0,19,25,584577,3392829,-104.117,30.6652,,,,,,,,,,,,,,,,,,,,,,,,,,
D30,105,81,0,0,0,0,0,4,10,583361,3392836,-104.13,30.6653,,,,,,,,,,,,,,,,,,,,,,,,,,
D31,106,67,0,0,0,0,0,10,17,583975,3392829,-104.123,30.6652,,,,,,,,,,,,,,,,,,,,,,,,,,
D32,113,14,18,0,0,0,0,31,24,582756,3393412,-104.136,30.6706,,,,,,,,,,,,,,,,,,,,,,,,,,
D33,152,23,0,0,0,0,0,3,22,583339,3394015,-104.13,30.676,,,,,,,,,,,,,,,,,,,,,,,,,,
D34,177,15,0,0,0,0,0,3,5,583933,3394023,-104.124,30.676,,,,,,,,,,,,,,,,,,,,,,,,,,
D35,73,34,0,0,0,0,0,37,56,583937,3394622,-104.124,30.6814,,,,,,,,,,,,,,,,,,,,,,,,,,
D36,48,85,0,0,13,0,0,21,33,583337,3394618,-104.13,30.6814,,,,,,,,,,,,,,,,,,,,,,,,,,
D37,125,44,0,0,0,0,0,6,14,583339,3395223,-104.13,30.6869,,,,,,,,,,,,,,,,,,,,,,,,,,
D38,75,125,0,0,0,0,0,0,0,583941,3395228,-104.124,30.6869,,,,,,,,,,,,,,,,,,,,,,,,,,
D39,118,58,0,0,0,0,0,6,18,582144,3394032,-104.142,30.6762,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,39,73,0,0,9,0,0,23,56,582761,3394015,-104.136,30.676,,,,,,,,,,,,,,,,,,,,,,,,,,
D40,107,62,0,0,0,0,0,9,22,582749,3394633,-104.136,30.6816,,,,,,,,,,,,,,,,,,,,,,,,,,
D41,97,26,0,0,0,0,0,23,54,582754,3395229,-104.136,30.687,,,,,,,,,,,,,,,,,,,,,,,,,,
D42,100,20,18,0,62,0,0,0,0,585145,3396415,-104.111,30.6975,,,,,,,,,,,,,,,,,,,,,,,,,,
D43,168,24,0,0,0,0,0,5,4,583938,3396432,-104.124,30.6977,,,,,,,,,,,,,,,,,,,,,,,,,,
D44,0,4,0,0,0,0,0,98,99,583340,3395824,-104.13,30.6923,,,,,,,,,,,,,,,,,,,,,,,,,,
D45,117,83,0,0,0,0,0,0,0,583945,3395822,-104.124,30.6922,,,,,,,,,,,,,,,,,,,,,,,,,,
D46,149,42,0,0,0,0,0,6,3,583342,3396418,-104.13,30.6977,,,,,,,,,,,,,,,,,,,,,,,,,,
D47,6,47,0,0,0,0,0,65,82,582733,3396411,-104.136,30.6976,,,,,,,,,,,,,,,,,,,,,,,,,,
D48,0,64,0,0,26,0,0,67,44,582735,3395828,-104.136,30.6924,,,,,,,,,,,,,,,,,,,,,,,,,,
D49,80,86,0,0,6,0,0,11,17,581559,3393421,-104.149,30.6707,,,,,,,,,,,,,,,,,,,,,,,,,,
D5,108,29,0,0,0,0,0,21,41,580353,3391010,-104.161,30.6491,,,,,,,,,,,,,,,,,,,,,,,,,,
D50,13,45,0,0,6,0,0,67,69,580937,3393414,-104.155,30.6707,,,,,,,,,,,,,,,,,,,,,,,,,,
D51,39,92,0,0,0,0,0,31,38,580938,3392836,-104.155,30.6655,,,,,,,,,,,,,,,,,,,,,,,,,,
D52,3,114,0,0,0,0,0,45,38,579745,3392220,-104.168,30.66,,,,,,,,,,,,,,,,,,,,,,,,,,
D54,67,88,0,0,0,0,0,30,16,581550,3394627,-104.149,30.6816,,,,,,,,,,,,,,,,,,,,,,,,,,
D55,68,68,0,0,0,0,0,22,41,581549,3395224,-104.149,30.687,,,,,,,,,,,,,,,,,,,,,,,,,,
D56,106,23,0,0,0,0,0,29,43,580941,3395218,-104.155,30.687,,,,,,,,,,,,,,,,,,,,,,,,,,
D57,0,168,0,0,0,0,0,19,13,580949,3394614,-104.155,30.6815,,,,,,,,,,,,,,,,,,,,,,,,,,
D58,126,74,0,0,0,0,0,0,0,583937,3391016,-104.124,30.6489,,,,,,,,,,,,,,,,,,,,,,,,,,
D59,138,35,0,0,0,0,0,10,18,584540,3395825,-104.117,30.6922,,,,,,,,,,,,,,,,,,,,,,,,,,
D6,181,19,0,0,0,0,0,0,0,579768,3390999,-104.167,30.649,,,,,,,,,,,,,,,,,,,,,,,,,,
D60,25,101,0,0,10,0,0,42,24,585140,3395814,-104.111,30.6921,,,,,,,,,,,,,,,,,,,,,,,,,,
D61,119,53,0,0,0,0,0,22,6,585149,3395231,-104.111,30.6868,,,,,,,,,,,,,,,,,,,,,,,,,,
D62,17,19,0,0,0,0,0,88,76,584522,3395233,-104.118,30.6869,,,,,,,,,,,,,,,,,,,,,,,,,,
D63,136,19,16,0,0,0,0,0,20,582146,3389826,-104.143,30.6383,,,,,,,,,,,,,,,,,,,,,,,,,,
D64,0,124,0,0,0,0,0,47,30,581542,3389817,-104.149,30.6382,,,,,,,,,,,,,,,,,,,,,,,,,,
D65,0,0,0,0,0,0,0,100,100,580941,3389815,-104.155,30.6382,,,,,,,,,,,,,,,,,,,,,,,,,,
D7,0,116,0,0,0,0,0,50,34,580365,3391595,-104.161,30.6543,,,,,,,,,,,,,,,,,,,,,,,,,,
D73,25,54,0,0,0,0,0,72,48,580344,3389816,-104.162,30.6383,,,,,,,,,,,,,,,,,,,,,,,,,,
D74,19,0,0,0,0,0,0,94,87,582142,3389221,-104.143,30.6328,,,,,,,,,,,,,,,,,,,,,,,,,,
D75,68,65,0,0,0,0,0,35,31,581542,3389219,-104.149,30.6328,,,,,,,,,,,,,,,,,,,,,,,,,,
D76,0,81,0,0,14,0,0,46,60,580940,3389237,-104.155,30.633,,,,,,,,,,,,,,,,,,,,,,,,,,
D77,80,35,0,0,0,0,0,65,21,580339,3389217,-104.162,30.6329,,,,,,,,,,,,,,,,,,,,,,,,,,
D78,22,19,0,0,0,0,0,78,81,580938,3396424,-104.155,30.6979,,,,,,,,,,,,,,,,,,,,,,,,,,
D79,25,78,0,0,0,0,0,35,23,581540,3396412,-104.149,30.6977,,,,,,,,,,,,,,,,,,,,,,,,,,
D8,0,33,0,0,0,0,0,85,81,579763,3391574,-104.167,30.6542,,,,,,,,,,,,,,,,,,,,,,,,,,
D80,62,61,0,0,0,0,0,46,32,582140,3396421,-104.142,30.6978,,,,,,,,,,,,,,,,,,,,,,,,,,
D81,55,39,0,0,12,0,0,44,50,582139,3395826,-104.142,30.6924,,,,,,,,,,,,,,,,,,,,,,,,,,
D82,100,22,0,0,0,0,0,40,39,581546,3395821,-104.149,30.6924,,,,,,,,,,,,,,,,,,,,,,,,,,
D83,115,46,0,0,0,0,0,21,19,580939,3395822,-104.155,30.6924,,,,,,,,,,,,,,,,,,,,,,,,,,
D84,0,64,0,0,31,0,0,53,53,580342,3392821,-104.161,30.6654,,,,,,,,,,,,,,,,,,,,,,,,,,
D85,0,200,0,0,0,0,0,0,0,579132,3392221,-104.174,30.6601,,,,,,,,,,,,,,,,,,,,,,,,,,
D86,48,27,0,0,0,0,0,70,55,579145,3392821,-104.174,30.6655,,,,,,,,,,,,,,,,,,,,,,,,,,
D87,42,53,54,0,0,0,0,32,19,579754,3392821,-104.167,30.6654,,,,,,,,,,,,,,,,,,,,,,,,,,
D88,99,16,0,0,0,0,0,55,31,579137,3393406,-104.174,30.6708,,,,,,,,,,,,,,,,,,,,,,,,,,
D89,38,67,0,0,0,0,0,52,43,578542,3393419,-104.18,30.6709,,,,,,,,,,,,,,,,,,,,,,,,,,
D9,18,126,0,0,0,0,0,8,6,580345,3392258,-104.161,30.6603,,,,,,,,,,,,,,,,,,,,,,,,,,
D90,6,25,0,0,0,0,0,83,87,577942,3393412,-104.186,30.6709,,,,,,,,,,,,,,,,,,,,,,,,,,
D91,0,85,0,0,0,0,0,50,66,577941,3392824,-104.186,30.6656,,,,,,,,,,,,,,,,,,,,,,,,,,
D92,125,35,0,0,0,0,0,15,25,578545,3392822,-104.18,30.6655,,,,,,,,,,,,,,,,,,,,,,,,,,
D93,189,11,0,0,0,0,0,0,0,580342,3395219,-104.161,30.687,,,,,,,,,,,,,,,,,,,,,,,,,,
D94,104,39,0,0,0,0,0,31,26,582131,3395219,-104.142,30.6869,,,,,,,,,,,,,,,,,,,,,,,,,,
D95,77,73,0,0,0,0,1,24,19,581543,3397621,-104.148,30.7086,,,,,,,,,,,,,,,,,,,,,,,,,,
D96,128,8,0,0,0,0,0,29,36,582136,3397624,-104.142,30.7086,,,,,,,,,,,,,,,,,,,,,,,,,,
