sampleNo,file.name,DisplayDelta1.13C,DisplayDelta2.18O,SMOWConverted.18O,R_1EC.C,DisplayDelta1.N15,R_1EC.N15
13,schwilk2 c06.raw,-26.779989371,-2.2228962828,28.5685051379,51.2787913216,0.0521066092,2.1057341657
14,schwilk2 c07.raw,-23.9947537574,-3.1388550085,27.624279926,52.8228828794,0.9283855264,2.5040187969
15,schwilk2 c08.raw,-24.4074139296,-3.6148316516,27.1336146437,55.180037858,2.2728917661,1.2588516294
16,schwilk2 c09.raw,-24.6534070746,-2.0982560037,28.696991816,56.237601803,0.9889801207,1.2981146986
17,schwilk2 c10.raw,-24.5664040535,-2.7474214453,28.0277931289,56.3950051075,0.3350344914,2.3106658678
18,schwilk2 c11.raw,-23.8038940242,-2.9443141468,27.8248243187,47.4358693509,0.4575594396,1.1756651459
19,schwilk2 c12.raw,-24.3574621269,-2.5236369558,28.2584836077,58.1832787588,0.5042385718,1.4911423066
20,lb3.raw,-26.0119737153,0.134986755,30.9991524463,31.2806292216,5.6,8.2412297718
21,schwilk2 d01.raw,-26.3287864898,-3.711203652,27.0342686033,52.6604770011,0.5661816004,1.7435948653
22,schwilk2 d02.raw,-24.4102290698,-3.7375695346,27.0070890696,52.8710364654,0.0356277609,2.200930985
23,schwilk2 d03.raw,-25.2378318451,-2.220198236,28.5712864464,56.269172152,0.6408038025,1.0994236342
24,schwilk2 d04.raw,-23.4539655704,-2.6806316503,28.0966440569,55.6560543968,0.1709181628,1.2698719418
25,schwilk2 d05.raw,-23.9653379517,-3.7559949212,26.9880950755,56.2779920362,0.6463868826,1.5591505098
26,schwilk2 d06.raw,-24.4253640786,-3.6901031057,27.0560203125,53.0875307097,1.0009084158,1.1170996594
27,schwilk2 d07.raw,-24.4475687793,-3.2045026903,27.5566063566,56.1782182638,0.6325693524,2.2873991355
28,schwilk2 d08.raw,-23.5401881692,-3.7114831762,27.033980453,55.9176386629,0.9982335233,1.1291380165
29,schwilk2 d09.raw,-23.6678505062,-3.5556366851,27.1946363667,54.6160019327,0.1631027388,1.3725381102
30,schwilk2 d10.raw,-24.2245590806,-3.867394857,26.8732573377,54.4131914352,0.5980499025,1.5717200416
31,schwilk2 d11.raw,-22.9263323076,-3.3293563595,27.4278997033,53.1735297158,1.168535396,2.1737143353
32,schwilk2 d12.raw,-26.817862611,-3.8072311147,26.9352777331,53.9723202349,1.9171968024,1.9448999147
33,lb4.raw,-26.002258307,-0.0321411393,30.8268669851,31.4471651555,5.6,8.2924992997
34,schwilk2 e01.raw,-22.9581677634,-4.031579016,26.7040064556,55.9291728347,0.1459655266,1.5032658429
35,schwilk2 e02.raw,-25.1259499564,-3.6680652774,27.0787382281,49.3150421501,0.9404004887,1.9287152694
36,schwilk2 e03.raw,-23.9039123008,-4.6726265087,26.0431762372,54.6493819461,0.0974530204,1.3026874162
37,schwilk2 e04.raw,-25.0455962389,-4.7381290867,25.9756522497,52.1738381285,-1.1852791368,1.3236534204
38,schwilk2 e05.raw,-26.3769936032,-4.3240377053,26.4025224911,53.0054221822,0.8712275644,1.7598412972
39,schwilk2 e06.raw,-27.9662301823,-4.5893308852,26.1290423637,53.1377384216,1.5145902774,1.4512225509
40,schwilk2 e07.raw,-23.9824093826,-5.096121216,25.6066124832,54.8532488758,0.1818798566,1.9737575266
41,schwilk2 e08.raw,-25.5640260983,-2.149094205,28.6445847478,53.8353333022,1.5583137881,1.9441891255
42,schwilk2 e09.raw,-25.3687440461,-4.5296931939,26.1905204742,50.7106620915,4.2672152051,1.8948478353
43,schwilk2 e10.raw,-26.1070758791,-3.7859323964,26.9572337299,51.1100898282,1.4137947338,1.8128737768
44,schwilk2 e11.raw,-22.3914948117,-4.1154636361,26.6175331561,54.6327698096,2.2052994587,1.641796178
45,schwilk2 e12.raw,-25.4108789423,-4.1824141813,26.548516517,56.4071534747,0.4920913657,1.0794634933
46,lb5.raw,-25.9978969104,0.0296086208,30.8905223428,31.7967324949,5.6,8.4484699486
47,schwilk2 f01.raw,-23.6798863448,-3.9731523473,26.7642361713,60.5421689972,3.2653680848,1.3028991131
48,schwilk2 f02.raw,-23.782123477,-3.3505812421,27.4060198208,56.1961267516,0.4017410227,1.2906093138
49,schwilk2 f03.raw,-26.6437632727,-3.0753931071,27.6897002616,54.7685486164,0.9097652906,2.3166017401
50,schwilk2 f04.raw,-27.8751640203,-5.4293840702,25.2630651374,55.2923872122,-0.8823946965,2.0461250101
2,lb11.raw,-25.9992924601,4.840598235,35.8499790965,,5.6030934374,
3,schwilk2 f05.raw,-27.7755543797,0.8525520402,31.7388617961,53.215915298,-0.8550328144,2.2425121192
3,lb12a.raw,-26.0569363496,-1.5443769286,29.2679635994,31.9405299302,5.3757857616,8.4920707456
4,schwilk2 f06.raw,-26.8158052953,-4.9609391321,25.7459662863,53.1213600875,0.7330448375,1.4825721497
5,schwilk2 f07.raw,-27.5492368772,-4.6326840196,26.0843513515,54.3216617075,1.3480924201,1.8683405795
6,schwilk2 f08.raw,-25.7399616909,-4.8864139159,25.8227913507,52.3602793719,0.8933630445,2.905052526
7,schwilk2 f09.raw,-25.1631941744,-5.0878011448,25.6151893119,49.8776843581,0.7138827228,1.4300487409
8,schwilk2 f10.raw,-26.6176743204,-4.2051148022,26.525115355,52.2252125054,-1.3762592854,2.2055477648
9,schwilk2 f11.raw,-25.677065303,-3.7399617491,27.0046230313,40.4193457677,-0.7176284066,1.8767814704
10,schwilk2 f12.raw,-27.3196144722,-2.7073160515,28.0691361751,53.7016740361,0.356851055,1.9521515318
11,lb12.raw,-25.9882912696,-0.5057827817,30.3386087617,30.6134141897,5.6,8.3093337289
12,schwilk2 g01.raw,-23.007987097,-1.9349901878,28.865296015,51.0270254381,1.3097480122,1.5923592027
13,schwilk2 g02.raw,-25.5227778476,-1.7217586707,29.0851078567,52.9933479898,-0.1892373469,1.0075767587
14,schwilk2 g03.raw,-25.3183942009,-1.6376713566,29.1717901053,52.5519818565,-0.4593006961,0.8762144392
15,schwilk2 g04.raw,-22.8896741351,-1.8759490214,28.9261591918,58.0090460578,1.5776341406,1.1078883576
16,schwilk2 g05.raw,-25.9980162355,-1.5498660382,29.2623050958,53.0868944096,0.1888669949,1.0656947933
17,schwilk2 g06.raw,-24.0139114875,-1.1802327598,29.6433452572,57.2438048766,2.1339004147,1.2607834678
18,schwilk2 g07.raw,-26.0880033426,-1.7099788728,29.0972511792,53.315982003,0.3976527357,0.9275090232
19,schwilk2 g08.raw,-24.3098826856,-0.9213361527,29.9102314136,54.5310327684,0.7050777722,1.0693461744
20,schwilk2 g09.raw,-27.381289105,-2.9471998089,27.821849605,52.762279904,0.2461930489,1.8394501747
21,schwilk2 g10.raw,-23.9864663562,-2.5225522377,28.2596018003,55.7450915943,1.2965321383,1.3077358622
22,schwilk2 g11.raw,-24.0854296524,-2.4973386365,28.2855934931,51.8298089935,-0.3751529619,0.8121221421
23,schwilk2 g12.raw,-26.3704285308,-1.5857062726,29.2253588319,55.9008231287,-0.8645898676,2.0661084872
24,lb13.raw,-25.9677259885,0.43173103,31.3050542495,31.2182173221,5.6,8.5822544351
25,schwilk2 h01.raw,-25.0955865501,-3.3783807895,27.3773623793,53.8973366926,0.8169063746,0.9336974747
26,schwilk2 h02.raw,-26.3567988956,-3.0138681315,27.753123898,53.2182810296,0.3029070719,1.1511604797
27,schwilk2 h03.raw,-25.5265493269,-3.0527917711,27.7129990748,52.9165208721,-1.023459995,1.2386511568
28,schwilk2 h04.raw,-24.7010963925,-3.4712291624,27.2816487057,53.5698137931,0.2036460773,1.0995619791
29,schwilk2 h05.raw,-24.1661547166,-2.1896198241,28.6028085081,55.3407449638,0.9722043247,1.1073318959
30,schwilk2 h06.raw,-24.7178561123,-2.4462502722,28.3382584444,55.1762013795,0.4309555034,0.9861932964
31,schwilk2 h07.raw,-24.6492723261,-2.0652741984,28.7309914398,55.3181858257,1.6520489043,1.1255965801
32,schwilk2 h08.raw,-27.2740993087,-2.3199339005,28.4684729394,53.8470788265,1.5426325557,1.0740182836
33,schwilk2 h09.raw,-24.2511795153,-3.703386546,27.0423269452,55.5725910774,0.4756928472,1.296902911
34,schwilk2 h10.raw,-24.5689508659,-3.446264068,27.3073842229,51.8427463151,0.3877535526,0.98411498
35,schwilk2 h11.raw,-23.7580456704,-2.8076107269,27.965746406,53.5556923047,-2.2718519462,1.6826002278
36,schwilk2 h12.raw,-24.3142470152,-3.5985214282,27.1504282005,52.3605154652,0.368451291,1.5405704972
37,lb14.raw,-25.9798993731,-0.0741748513,30.7835361128,30.4977699958,5.6,8.4803506234
38,schwilk3 a01.raw,-23.4237230584,-2.6858723623,28.0912416166,53.5148732758,0.3857419804,1.3709986856
39,schwilk3 a02.raw,-24.5760701852,-2.9375834268,27.8317627486,56.2890297231,-1.7422970164,1.1995595243
40,schwilk3 a03.raw,-25.3263922973,-3.4574207432,27.2958832526,52.4481638963,-0.9472567722,1.3613558195
41,schwilk3 a04.raw,-24.1750305769,-3.5720414507,27.1777253502,54.2443112107,-2.1370681869,1.4982219591
42,schwilk3 a05.raw,-24.6979231845,-3.124822801,27.6387451674,54.4954509721,1.0934356039,1.2875309865
43,schwilk3 a06.raw,-23.4122088541,-3.2467774664,27.513026981,52.6519506003,-0.7553594761,1.3127913052
44,schwilk3 a07.raw,-23.2582952644,-2.7370145807,28.0385211493,53.6177783984,0.2711360339,1.4009107637
45,schwilk3 a08.raw,-24.8999788822,-2.2649584542,28.5251449279,55.1636756292,-0.2760734564,1.5813343671
46,schwilk3 a09.raw,-21.2592332363,-2.8848276815,27.8861465363,53.4219943029,-0.0776021159,1.2145259094
47,schwilk3 a10.raw,-21.216339837,-2.6340487334,28.1446645227,54.0298923803,0.7118070302,1.0973845908
48,schwilk3 a11.raw,-24.7403463744,-3.1426547526,27.6203629217,54.970856413,0.7616375183,1.1701016536
49,schwilk3 a12.raw,-24.3987100758,-2.2809686225,28.5086406858,54.4689266595,-1.7130346602,1.2835969279
50,lb15.raw,-25.9994466476,-0.1709244602,30.683800811,31.0950550797,5.6,8.5163234927
3,schwilk3 b01.raw,-26.3532953535,1.93920747,32.8590514125,57.2605079174,0.2393572879,1.376136078
4,schwilk3 b02.raw,-24.6545415488,1.0302118984,31.9220042376,58.9850756798,0.2184353427,1.327695879
5,schwilk3 b03.raw,-25.5960509825,-0.9585365487,29.8718830134,53.066085336,-0.6225778681,1.0069891903
6,schwilk3 b04.raw,-25.6520288893,-0.4751260037,30.3702116078,54.6157184482,-1.1020005124,1.0893858535
7,schwilk3 b05.raw,-26.1106978922,-1.4475065488,29.3678233991,57.0929840264,-1.1937639098,1.0002043461
8,schwilk3 b06.raw,-25.0662262973,-1.4611881436,29.3537195903,55.6219190011,0.0295846851,1.2574439971
9,schwilk3 b07.raw,-27.8617405465,-2.1715282679,28.6214583698,53.2388319227,-1.0468751302,2.2325711347
10,schwilk3 b08.raw,-25.8474574855,-2.1043511879,28.6907085345,55.0863035348,1.2601540985,1.1873262326
11,schwilk3 b09.raw,-23.4211108204,-2.4304404626,28.3545561448,55.6621344694,-0.774547357,1.0428070104
12,schwilk3 b10.raw,-26.4046537654,-2.5145038453,28.2678985661,54.0436096667,-0.9533375294,1.1138008321
13,schwilk3 b11.raw,-23.2922705613,-2.5683442211,28.2123966762,55.4892180457,-1.9539074104,1.0904159192
14,schwilk3 b12.raw,-24.2128457604,-3.1180700837,27.6457062735,56.1345812608,1.5266456191,1.1610747268
15,lb12.raw,-26,-2.58532806160594E-018,30.86,30.9793665446,5.6,8.1748739121
16,schwilk3 c01.raw,-23.1262298675,-2.4005371303,28.3853822939,54.7213911802,1.1441476144,1.6592067418
17,schwilk3 c02.raw,-22.3696205003,-2.6039340222,28.1757085738,53.1359363712,-3.6411233465,1.0628283157
18,schwilk3 c03.raw,-23.994450516,-2.0565695802,28.7399646826,55.7352461811,-2.7938232776,1.5270675719
19,schwilk3 c04.raw,-25.1865584839,-2.329348298,28.4587680136,55.3245433732,1.7624125109,1.2112986367
20,schwilk3 c05.raw,-26.3959359387,-2.128407086,28.6659102713,52.6211285464,0.3583779708,2.3584091955
21,schwilk3 c06.raw,-24.1941581884,-1.3833142274,29.4339966955,54.731811358,-1.4890111195,1.2560432146
22,schwilk3 c07.raw,-24.3087027915,-1.8840524067,28.917805736,55.8531576603,-2.5240784302,1.2956461425
23,schwilk3 c08.raw,-27.6236914344,-1.8174388799,28.9864749562,55.1420817563,-0.8631208044,2.7489423789
24,schwilk3 c09.raw,-27.3695894691,-1.643630167,29.1656474061,53.7658643055,-3.954672659,2.9649868902
25,schwilk3 c10.raw,-27.8700250338,-1.7221513767,29.0847030318,55.5549397715,0.6139623124,2.3377789712
26,schwilk3 c11.raw,-27.6406098019,-1.7644436163,29.0411056537,54.6436009885,0.5308551017,2.6206266022
27,schwilk3 c12.raw,-26.5004441357,-1.6979991884,29.1096005567,54.1616830481,-0.6261017462,2.8790588387
28,lb2.raw,-26.0056888043,-0.1412910814,30.7143486758,30.642541202,5.6,8.2560904242
29,schwilk3 d01.raw,-27.9392266866,-0.7625366461,30.073931473,54.4751968932,-1.2715306645,2.968825565
30,schwilk3 d02.raw,-26.1309202079,-0.9494919355,29.8812067434,55.3666035301,2.1494316595,2.868385988
31,schwilk3 d03.raw,-26.7749707377,-1.0469939184,29.7806958493,54.9183770001,-0.6289984681,2.5876333333
32,schwilk3 d04.raw,-26.9958742237,-1.3944564064,29.4225106689,50.9823344541,-0.4348922654,2.2345075406
33,schwilk3 d05.raw,-27.6229962105,-0.9353780683,29.8957561646,55.149510024,0.5396562197,2.9892986443
34,schwilk3 d06.raw,-26.5316149156,-1.4958010435,29.3180385363,55.3817296893,-0.7973960102,3.0649201951
35,schwilk3 d07.raw,-24.5434913475,-1.2140481466,29.6084863276,55.310655571,0.7911813681,2.0123470188
36,schwilk3 d08.raw,-25.0052194173,-1.5271687556,29.2857028166,52.0086011343,1.1874979597,1.9362167513
37,schwilk3 d09.raw,-24.3323562846,-1.8010134849,29.003407239,56.9359194576,0.3237764817,1.6626031863
38,schwilk3 d10.raw,-25.605822093,-1.6263409166,29.1834702027,55.6242118262,-1.0742011784,1.1826251207
39,schwilk3 d11.raw,-25.0694291148,-1.6291330247,29.1805919301,56.8905172601,1.4701283471,1.2881146878
40,schwilk3 d12.raw,-24.0473514108,-1.6947284211,29.1129722598,55.2927821521,0.6919090408,1.4573077195
41,lb3.raw,-25.9794109701,0.0744575192,30.9367552782,31.9206350737,5.6,8.6803361134
42,schwilk3 e01.raw,-24.1656912034,-1.6504554927,29.1586114508,57.6160048421,-0.1595410272,1.1288595099
43,schwilk3 e02.raw,-23.7421594388,-1.578493662,29.2327940236,55.4925282075,0.0138356318,1.116353115
44,schwilk3 e03.raw,-26.9033989538,-1.8835039221,28.9183711468,50.6578843665,-1.3520723238,2.139396767
45,schwilk3 e04.raw,-25.9540122935,-1.8608890743,28.9416838888,53.2260441659,2.4194496558,2.4136239523
46,schwilk3 e05.raw,-23.8031122445,-1.2482370141,29.5732423916,56.594190453,0.7285452702,1.2523631778
47,schwilk3 e06.raw,-25.3552458271,-1.846070766,28.9569594902,54.90730942,1.1771056567,1.2954582726
48,schwilk3 e07.raw,-23.8285868522,-1.2778933164,29.5426708959,56.501331202,2.0964398558,1.5057030791
49,schwilk3 e08.raw,-26.741854548,-1.4511892863,29.3640270123,51.1277120407,0.0944010396,1.229560305
50,lb15.raw,-25.9890244843,0.0187995301,30.8793796836,32.0574571797,5.6,8.7075283977
3,schwilk3 e09.raw,-26.5927549728,-1.4223142288,29.3937931541,50.7910856233,0.3534075454,2.4752771185
4,schwilk3 e10.raw,-24.7800221476,-1.5872806018,29.2237359189,55.1700192983,-1.5696534264,1.5774145428
5,schwilk3 e11.raw,-22.360286444,-1.8662130261,28.9361956399,52.9908422461,1.7562735075,1.5263610712
6,schwilk3 e12.raw,-26.011534043,-1.9420107319,28.8580588169,54.9134495331,1.73298461,1.1994093849
7,lb2.raw,-25.9894176992,-0.0222001767,30.8371147259,31.8909223016,5.6,8.6873641928
