"plot","UTM.E","UTM.N","IV","NEAR.FID","NEAR.DIST","lon","lat","map.label","spcode","newlon","newlat"
"142",509440,3536040,153.550776,20,137.912428096,-104.9,31.962,"1","JUDE2",-104.900101632361,31.9603034482144
"56",514225,3533501,124.694191,26,114.230179249,-104.85,31.939,"2","JUDE2",-104.849502059457,31.9373470173149
"14",515272,3532134,102.634998,5,81.0249564136,-104.838,31.9267,"3","JUDE2",-104.838446592411,31.9250005049366
"21",514750,3531903,75.338325,26,101.865296911,-104.844,31.9246,"4","JUDE2",-104.843972021042,31.9229233506837
"18",514700,3532650,70.257975,26,32.0193051398,-104.844,31.9314,"5","JUDE2",-104.844489585977,31.9296633475754
"19",514716,3532414,66.912264,26,58.7708304057,-104.844,31.9292,"6","JUDE2",-104.844323911005,31.9275339760784
"15",515279,3532321,64.45935,5,140.38051578,-104.838,31.9284,"7","JUDE2",-104.838369592815,31.9266875029475
"145",510111,3536212,64.19837,23,54.3751868004,-104.893,31.9635,"8","JUDE2",-104.892999016483,31.9618494214092
"20",514810,3532136,60.01121,26,29.0620353409,-104.843,31.9267,"9","JUDE2",-104.843333769252,31.9250246695833
"101",517802,3537457,58.986601,30,65.53971776,-104.812,31.9747,"10","JUDE2",-104.811585356897,31.9729868936213
"35",514962,3531849,50.020486,26,91.8503366786,-104.842,31.9241,"11","JUDE2",-104.841730291031,31.9224333947136
"0",515491,3529347,24,36,88.0869988698,-104.836,31.9015,"12","JUDE2",-104.836174491327,31.8998534983466
"0",515365,3529444,12,36,100.064683611,-104.838,31.9024,"13","JUDE2",-104.837505465888,31.9007303351384
"0",515389,3529424,14,36,84.2731866956,-104.837,31.9022,"14","JUDE2",-104.837251969166,31.9005495719983
"0",515289,3529477,10,36,127.82234917,-104.838,31.9027,"15","JUDE2",-104.838308690459,31.9010290835409
"0",515283,3529464,20,36,114.732676113,-104.838,31.9026,"16","JUDE2",-104.838372349171,31.9009118793086
"0",515462,3529334,6,36,60.3078310588,-104.836,31.9014,"17","JUDE2",-104.836481387918,31.8997366083426
"0",515343,3529414,12,36,69.9645602972,-104.838,31.9021,"18","JUDE2",-104.837738603731,31.9004599748241
"0",515490,3529302,8,36,48.5615475046,-104.836,31.9011,"19","JUDE2",-104.836185785826,31.899447525593
"144",510044,3536504,178.578701,23,93.3272454547,-104.894,31.9662,"144","PIED",-104.893705016929,31.9644843974133
"155",512452,3534408,175.593141,28,23.9076835313,-104.868,31.9472,"155","PIED",-104.868248361059,31.9455506973656
"71",514015,3534455,163.191449,26,13.7994327229,-104.852,31.9476,"71","PIED",-104.851709994981,31.9459564911785
"20",514810,3532136,139.98879,26,29.0620353407,-104.843,31.9267,"20","PIED",-104.843333769252,31.9250246695833
"145",510111,3536212,135.801629,23,54.3751868004,-104.893,31.9635,"145","PIED",-104.892999016483,31.9618494214092
"57",512719,3534211,127.468056,28,113.145529515,-104.865,31.9455,"57","PIED",-104.865425894762,31.9437704271788
"87",512115,3534328,109.644114,28,155.835394912,-104.872,31.9465,"87","PIED",-104.871815071848,31.9448325969784
"28",515772,3531203,159.838919,0,38.5049753245,-104.833,31.9183,"28","PIPO",-104.833172570764,31.9165942908335
"132",518710,3537185,156.21114,29,20.9261202277,-104.802,31.9722,"132","PIPO",-104.801980489062,31.9705183357898
"148",511504,3534618,126.213804,28,70.6743899165,-104.878,31.9491,"148","PIPO",-104.878276404801,31.9474552999542
"58",513178,3534066,112.19074,28,42.4842143415,-104.861,31.9441,"58","PIPO",-104.860571406421,31.9424570173841
"15",515279,3532321,104.777076,5,140.38051578,-104.838,31.9284,"15","PIPO",-104.838369592815,31.9266875029475
"14",515272,3532134,82.834881,5,81.0249564136,-104.838,31.9267,"14","PIPO",-104.838446592411,31.9250005049366
"87",512115,3534328,78.231051,28,155.835394912,-104.872,31.9465,"87","PIPO",-104.871815071848,31.9448325969784
"18",514700,3532650,70.104118,26,32.0193051398,-104.844,31.9314,"18","PIPO",-104.844489585977,31.9296633475754
"1",514801,3532772,69.37904,5,119.456414273,-104.843,31.9325,"1","PIPO",-104.843419251033,31.9307627043582
"104",518249,3537544,66.048714,30,158.519598538,-104.807,31.9755,"104","PIPO",-104.806852731256,31.973764679842
"141",511544,3533615,63.748939,23,88.6470253011,-104.878,31.9401,"141","PIPO",-104.877865135486,31.9384059533885
"49",514442,3535229,58.691224,26,92.0727000546,-104.847,31.9546,"49","PIPO",-104.847180445324,31.9529340500022
"19",514716,3532414,54.997039,26,58.7708304057,-104.844,31.9292,"19","PIPO",-104.844323911005,31.9275339760784
"139",511697,3533331,104.242416,23,177.845119731,-104.876,31.9375,"139","PIST3",-104.876249840358,31.9358421719408
"46",515740,3531819,93.666004,5,91.6905202026,-104.834,31.9238,"46","PIST3",-104.833501036651,31.9221522192901
"7",515084,3532160,83.125068,5,36.4520201795,-104.84,31.9269,"7","PIST3",-104.840434920942,31.9252375873872
"10",516296,3531534,70.471573,0,108.235731972,-104.828,31.9213,"10","PIST3",-104.827624442818,31.9195731380517
"141",511544,3533615,60.680208,23,88.6470253011,-104.878,31.9401,"141","PIST3",-104.877865135486,31.9384059533885
"152",512930,3534820,52.838076,10,71.2231580018,-104.863,31.951,"152","PIST3",-104.863185261279,31.9492623572451
"35",514962,3531849,52.265875,26,91.8503366786,-104.842,31.9241,"35","PIST3",-104.841730291031,31.9224333947136
"156",512383,3534267,93.6599,28,97.05121278,-104.869,31.946,"156","QUGA",-104.868980237003,31.9442793691945
"153",512701,3534745,90.372375,10,132.29509235,-104.866,31.9503,"153","QUGA",-104.865609332174,31.9485883050763
"3",514912,3532137,80.609133,26,71.7604145058,-104.842,31.9267,"3","QUGA",-104.842254759664,31.925032356279
"34",515030,3531690,75.92697,26,97.4286334929,-104.841,31.9227,"34","QUGA",-104.841013449543,31.9209980160095
"141",511544,3533615,68.742193,23,88.6470253011,-104.878,31.9401,"141","QUGA",-104.877865135486,31.9384059533885
"49",514442,3535229,67.366813,26,92.0727000546,-104.847,31.9546,"49","QUGA",-104.847180445324,31.9529340500022
"8",516061,3530785,63.723498,0,60.1950056879,-104.83,31.9145,"8","QUGA",-104.830122631312,31.9128190881175
"51",514377,3535095,63.688957,26,97.206169524,-104.848,31.9534,"51","QUGA",-104.847870240048,31.9517259480202
"152",512930,3534820,56.069955,10,71.2231580019,-104.863,31.951,"152","QUGA",-104.863185261279,31.9492623572451
"35",514962,3531849,55.860399,26,91.8503366786,-104.842,31.9241,"35","QUGA",-104.841730291031,31.9224333947136
"2",515001,3532462,54.730252,5,49.4131146089,-104.841,31.9297,"2","QUGA",-104.841308248702,31.9279632960005
"104",518249,3537544,53.184878,30,158.519598538,-104.807,31.9755,"104","QUGA",-104.806852731256,31.973764679842
"G141",515878,3529246,6,26,99.7268261637,-104.832,-104.832,"G141","QUGR3",-104.832083430901,31.8989369432303
"g125",515251,3529493,6,36,147.047755874,-104.839,-104.839,"g125","QUGR3",-104.838710312564,31.9011739448803
"G121",515343,3529414,8,36,69.9645602972,-104.838,-104.838,"G121","QUGR3",-104.837738603731,31.9004599748241
"G123",515389,3529424,10,36,84.2731866956,-104.837,-104.837,"G123","QUGR3",-104.837251969166,31.9005495719983
"g124",515283,3529464,10,36,114.732676113,-104.838,-104.838,"g124","QUGR3",-104.838372349171,31.9009118793086
"G140",515897,3529188,12,26,59.0434756625,-104.832,-104.832,"G140","QUGR3",-104.831883449624,31.8984134063004
"G122",515365,3529444,14,36,100.06468361,-104.838,-104.838,"G122","QUGR3",-104.837505465888,31.9007303351384
"g127",515289,3529477,14,36,127.82234917,-104.838,-104.838,"g127","QUGR3",-104.838308690459,31.9010290835409
"g134",515737,3529328,17,26,24.6602403227,-104.834,-104.834,"g134","QUGR3",-104.833573229105,31.8996787018625
"G139",515870,3529223,18,26,75.3771095625,-104.832,-104.832,"G139","QUGR3",-104.832168410469,31.8987295508398
"g135",515772,3529327,18,26,41.8826905128,-104.833,-104.833,"g135","QUGR3",-104.83320310393,31.8996691947207
"g129",515560,3529500,24,26,115.759523149,-104.835,-104.835,"g129","QUGR3",-104.835442326663,31.9012329091247
"g126",515289,3529477,29,36,127.82234917,-104.838,-104.838,"g126","QUGR3",-104.838308690459,31.9010290835409
